reference_name,reference_type,visual_works_count,visual_total_reps
Ad Reinhardt,visual_artist,8,8
Albert Ayler,musician,3,3
Alberto Giacometti,visual_artist,16,16
Albrecht Durer,visual_artist,1,1
Alfred Hitchcock,author,3,3
Amedeo Modigliani,visual_artist,5,5
Andy Warhol,visual_artist,63,206
Art Blakey,musician,1,1
Arthur Rimbaud,author,1,1
Auguste Rodin,visual_artist,2,3
Banksy,visual_artist,1,1
Barnett Newman,visual_artist,1,1
Billie Holiday,musician,2,2
Blondie,band,1,1
Bruce Nauman,visual_artist,1,1
Captain Beefheart,musician,2,2
Caravaggio,visual_artist,21,25
Charles Baudelaire,author,2,2
Charles Bukowski,author,5,40
Charles Mingus,musician,6,23
Christo,visual_artist,8,9
Claes Oldenburg,visual_artist,1,1
Claude Monet,visual_artist,7,7
Constantin Brancusi,visual_artist,72,1711
Count Basie,musician,1,1
Cy Twombly,visual_artist,2,2
Damien Hirst,visual_artist,3,3
Dan Flavin,visual_artist,3,3
David Bowie,musician,2,2
David Hockney,visual_artist,1,2
Desert Solitaire,work,2,10
Diego Velazquez,visual_artist,1,4
Dizzy Gillespie,musician,1,1
Duke Ellington,musician,2,2
Edouard Manet,visual_artist,20,24
Edvard Munch,visual_artist,1,1
Edward Abbey,author,1,1
El Greco,visual_artist,3,3
Elvis Presley,musician,16,29
Eric Clapton,musician,2,2
Federico Fellini,film,2,2
Francis Bacon,visual_artist,3,19
Francis Picabia,visual_artist,16,16
Frank Zappa,musician,1,1
Franz Kline,visual_artist,2,2
Frederic Chopin,musician,3,3
Frida Kahlo,visual_artist,2,2
George Harrison,musician,1,1
Georges Seurat,visual_artist,17,17
Gerhard Richter,visual_artist,1,1
Giotto,visual_artist,17,22
Giuseppe Verdi,musician,2,3
Gustav Klimt,visual_artist,1,1
Gustav Mahler,musician,1,1
Hans Holbein,visual_artist,1,1
Henri Matisse,visual_artist,2,2
Henry Miller,author,1,1
Howlin' Wolf,musician,6,9
James Joyce,author,6,15
James Rosenquist,visual_artist,1,1
James Turrell,visual_artist,2,2
Janis Joplin,musician,1,1
Jasper Johns,visual_artist,2,2
Jean Arp,visual_artist,13,19
Jean Dubuffet,visual_artist,1,1
Jean Tinguely,visual_artist,1,1
Jean-Michel Basquiat,visual_artist,42,56
Jeff Koons,visual_artist,1,1
Joan Miro,visual_artist,22,102
Joey Ramone,musician,1,1
Johannes Vermeer,visual_artist,75,567
John Coltrane,musician,11,14
Joseph Beuys,visual_artist,45,130
Joseph Cornell,visual_artist,1,1
Larry Rivers,visual_artist,1,1
Leonardo da Vinci,visual_artist,28,30
Lou Reed,musician,4,21
Louis Armstrong,musician,1,1
Louis-Ferdinand Celine,author,3,3
Luciano Pavarotti,musician,1,1
Ludwig van Beethoven,musician,8,135
Man Ray,visual_artist,33,117
Mark Rothko,visual_artist,33,49
Martin Scorsese,film,4,4
Marvin Gaye,musician,2,2
Maurice Utrillo,visual_artist,17,17
Max Ernst,visual_artist,3,3
Max Roach,musician,1,1
Michael McClure,author,1,1
Michelangelo,visual_artist,15,16
Mick Jagger,musician,6,6
Muddy Waters,musician,3,3
Otis Redding,musician,29,31
Pablo Picasso,visual_artist,93,325
Paul Cezanne,visual_artist,10,10
Paul Gauguin,visual_artist,1,1
Paul Klee,visual_artist,74,194
Paul Signac,visual_artist,18,18
Pete Townshend,musician,5,5
Pharoah Sanders,musician,1,1
Philip Guston,visual_artist,1,3
Pierre-Auguste Renoir,visual_artist,6,6
Piet Mondrian,visual_artist,14,17
R. Crumb,visual_artist,30,87
Raphael,visual_artist,4,4
Ray Charles,musician,2,2
Rembrandt van Rijn,visual_artist,38,48
Richard Serra,visual_artist,11,11
Richard Wagner,musician,2,3
Robert Johnson,musician,13,28
Robert Motherwell,visual_artist,2,2
Robert Rauschenberg,visual_artist,27,30
Robert Smithson,visual_artist,9,9
Roy Lichtenstein,visual_artist,5,5
Saki,author,1,1
Salvador Dali,visual_artist,1,1
Sandro Botticelli,visual_artist,8,8
Sergei Rachmaninoff,musician,1,1
Smokey Robinson,musician,1,1
Sol LeWitt,visual_artist,3,4
Sonny Rollins,musician,1,1
The Sopranos,tv,4,4
Thelonious Monk,musician,3,3
Tintoretto,visual_artist,12,12
Titian,visual_artist,20,25
Tombstone Blues,song,2,2
Truman Capote,author,1,2
Ubu Roi,work,2,2
Vincent van Gogh,visual_artist,45,51
Virginia Woolf,author,1,2
Walt Whitman,author,1,1
Wassily Kandinsky,visual_artist,36,39
Willem Dafoe,historical_figure,1,1
William Blake,visual_artist,1,1
William Faulkner,author,5,7
Wolfgang Amadeus Mozart,musician,3,3
