location_name,location_type,works_count,total_repetitions,avg_reps_per_work,primary_tier,work_identifiers
Utah,state,139,1431,10.3,exact,"JS-0000-T1050, JS-0000-T1178, JS-0000-T1204, JS-0000-T1392, JS-0000-T1474, JS-0000-T1512, JS-0000-T1532, JS-0000-T1544, JS-0000-T1676, JS-0000-T173, JS-0000-T1808, JS-0000-T1986, JS-0000-T2114, JS-0000-T2672, JS-0000-T2766, JS-0000-T2794, JS-0000-T315, JS-0000-T424, JS-0000-T4918, JS-0000-T5026, JS-0000-T5144, JS-0000-T5202, JS-0000-T5204, JS-0000-T5206, JS-0000-T5380, JS-0000-T5684, JS-0000-T5816, JS-0000-T5974, JS-0000-T6064, JS-0000-T610, JS-0000-T6206, JS-0000-T6210, JS-0000-T6214, JS-0000-T6256, JS-0000-T6310, JS-0000-T6316, JS-0000-T6404, JS-0000-T6438, JS-0000-T6510, JS-0000-T8140, JS-0000-T8174, JS-0000-T8258, JS-0000-T8294, JS-0000-T8302, JS-0000-T8322, JS-0000-T8366, JS-0000-T8374, JS-0000-T8418, JS-0000-T8488, JS-0000-T8494, JS-1921-T4636, JS-1921-T5320, JS-1921-T6550, JS-1925-T452, JS-1927-T652, JS-1929-T560, JS-1947-T5172, JS-1971-T5422, JS-1982-T5018, JS-1983-T1466, JS-2002-T5696, JS-2005-T4028, JS-2011-T1218, JS-2011-T1612, JS-2011-T618, JS-2012-T4842, JS-2012-T5256, JS-2012-T5646, JS-2013-T2376, JS-2014-T5328, JS-2014-T5400, JS-2016-T5116, JS-2016-T5188, JS-2016-T6084, JS-2016-T6554, JS-2017-T5102, JS-2017-T5414, JS-2017-T844, JS-2018-T2270, JS-2018-T4844, JS-2018-T544, JS-2018-T870, JS-2019-T2174, JS-2019-T5142, JS-2019-T5150, JS-2019-T5170, JS-2019-T5448, JS-2019-T6350, JS-2019-T6868, JS-2020-T1074, JS-2020-T4884, JS-2021-T2750, JS-2021-T4954, JS-2021-T5048, JS-2021-T5378, JS-2021-T5878, JS-2021-T5944, JS-2021-T6306, JS-2021-T6512, JS-2021-T730, JS-2022-T1558, JS-2022-T5894, JS-2022-T6004, JS-2022-T6050, JS-2023-T1538, JS-2023-T3420, JS-2023-T3490, JS-2023-T3568, JS-2023-T572, JS-2024-T1476, JS-2024-T2036, JS-2024-T2098, JS-2025-T1520, JS-2026-T6952, JS-2026-T6958, JS-2026-T7030, JS-2026-T7070, JS-2026-T7078, JS-2026-T7080, JS-2026-T7096, JS-2026-T7098, JS-2026-T7104, JS-2026-T7108, JS-2026-T7120, JS-2026-T7126, JS-2026-T7146, JS-2026-T7162, JS-2026-T7166, JS-2026-T7180, JS-2026-T7194, JS-2026-T7200, JS-2026-T7242, JS-2026-T7276, JS-2026-T7280, JS-2026-T7282, JS-2026-T7290, JS-2026-T7320, JS-2026-T7336, JS-2026-T7348"
Mississippi,body_of_water,36,52,1.4,exact,"JS-0000-T1780, JS-0000-T259, JS-0000-T3378, JS-0000-T3564, JS-0000-T5380, JS-0000-T6402, JS-0000-T6636, JS-0000-T6674, JS-0000-T6844, JS-0000-T8060, JS-0000-T8072, JS-0000-T8076, JS-0000-T8122, JS-0000-T8344, JS-0000-T880, JS-1921-T2268, JS-1927-T652, JS-1994-T2710, JS-2012-T4350, JS-2014-T4902, JS-2014-T5328, JS-2016-T6348, JS-2017-T4580, JS-2019-T6868, JS-2020-T1074, JS-2021-T5944, JS-2021-T6082, JS-2021-T6264, JS-2023-T3374, JS-2023-T572, JS-2023-T722, JS-2024-T3590, JS-2026-T7110, JS-2026-T7132, JS-2026-T7176, JS-2026-T7376"
Nevada,region,29,46,1.6,exact,"JS-0000-T1178, JS-0000-T143, JS-0000-T1482, JS-0000-T6404, JS-0000-T814, JS-0000-T8140, JS-0000-T8316, JS-0000-T8384, JS-1921-T2846, JS-1927-T652, JS-1974-T5174, JS-2014-T5328, JS-2014-T5392, JS-2016-T5188, JS-2019-T2290, JS-2019-T4732, JS-2019-T592, JS-2020-T1074, JS-2021-T2776, JS-2021-T5944, JS-2021-T6472, JS-2021-T730, JS-2023-T1538, JS-2023-T187, JS-2023-T780, JS-2026-T7086, JS-2026-T7088, JS-2026-T7254, JS-2026-T7348"
Texas,region,27,40,1.5,exact,"JS-0000-T1512, JS-0000-T1614, JS-0000-T6404, JS-0000-T6794, JS-0000-T8294, JS-1921-T2682, JS-1927-T652, JS-1974-T3562, JS-1984-T6024, JS-1993-T3450, JS-2013-T6254, JS-2014-T1880, JS-2014-T5328, JS-2016-T5966, JS-2019-T4732, JS-2020-T1074, JS-2021-T5944, JS-2021-T730, JS-2022-T6678, JS-2023-T3434, JS-2023-T6134, JS-2024-T1896, JS-2024-T6468, JS-2025-T1520, JS-2026-T7168, JS-2026-T7242, JS-2026-T7340"
Mexico,country,24,46,1.9,exact,"JS-0000-T143, JS-0000-T1754, JS-0000-T4918, JS-0000-T5396, JS-0000-T6016, JS-0000-T8140, JS-1921-T1782, JS-1927-T652, JS-1983-T1810, JS-2001-T5670, JS-2002-T5162, JS-2012-T4842, JS-2013-T2376, JS-2014-T5328, JS-2014-T5392, JS-2016-T5188, JS-2017-T2530, JS-2019-T6868, JS-2020-T1074, JS-2021-T5514, JS-2021-T5944, JS-2023-T1538, JS-2023-T3550, JS-2026-T7162"
Arizona,state,22,51,2.3,exact,"JS-0000-T1130, JS-0000-T2204, JS-0000-T4918, JS-0000-T5658, JS-0000-T5738, JS-0000-T6404, JS-0000-T8140, JS-1921-T6668, JS-1927-T652, JS-1983-T1810, JS-2013-T2376, JS-2013-T4994, JS-2014-T5328, JS-2016-T5188, JS-2017-T2432, JS-2018-T544, JS-2019-T5170, JS-2019-T5308, JS-2020-T1074, JS-2021-T5944, JS-2021-T730, JS-2024-T6608"
New Mexico,state,20,38,1.9,multi_word,"JS-0000-T143, JS-0000-T1754, JS-0000-T4918, JS-0000-T5396, JS-0000-T6016, JS-0000-T8140, JS-1921-T1782, JS-1927-T652, JS-1983-T1810, JS-2001-T5670, JS-2012-T4842, JS-2013-T2376, JS-2014-T5328, JS-2014-T5392, JS-2016-T5188, JS-2017-T2530, JS-2019-T6868, JS-2020-T1074, JS-2021-T5514, JS-2023-T3550"
Oklahoma,state,20,23,1.1,exact,"JS-0000-T1512, JS-0000-T1676, JS-0000-T6458, JS-0000-T8266, JS-1927-T652, JS-2014-T5328, JS-2017-T6744, JS-2018-T4670, JS-2019-T6868, JS-2020-T1074, JS-2020-T6638, JS-2021-T5944, JS-2022-T3464, JS-2023-T3434, JS-2024-T1896, JS-2026-T7084, JS-2026-T7212, JS-2026-T7246, JS-2026-T7254, JS-2026-T7320"
Ohio,state,20,21,1.1,exact,"JS-0000-T1382, JS-0000-T1512, JS-0000-T163, JS-0000-T2766, JS-0000-T5992, JS-0000-T6338, JS-0000-T8366, JS-1927-T652, JS-1983-T1466, JS-2012-T4350, JS-2014-T5328, JS-2016-T6686, JS-2018-T544, JS-2019-T2562, JS-2021-T2776, JS-2021-T5378, JS-2021-T700, JS-2021-T730, JS-2026-T7084, JS-2026-T7278"
New York,city,20,20,1.0,multi_word,"JS-0000-T1154, JS-0000-T8132, JS-1921-T1334, JS-1921-T1762, JS-1927-T652, JS-1947-T6094, JS-1981-T5638, JS-2014-T5078, JS-2014-T5328, JS-2016-T6156, JS-2016-T6758, JS-2018-T544, JS-2020-T1074, JS-2020-T5112, JS-2021-T2776, JS-2021-T5944, JS-2022-T371, JS-2026-T6904, JS-2026-T7084, JS-2026-T7086"
