reference_name,reference_type,works_count,total_repetitions,avg_reps_per_work,primary_tier,work_identifiers
Pablo Picasso,visual_artist,93,325,3.5,exact,"JS-0000-T1178, JS-0000-T1248, JS-0000-T1324, JS-0000-T1474, JS-0000-T1676, JS-0000-T1986, JS-0000-T2014, JS-0000-T2116, JS-0000-T2632, JS-0000-T2684, JS-0000-T2766, JS-0000-T3484, JS-0000-T3974, JS-0000-T4202, JS-0000-T446, JS-0000-T5230, JS-0000-T5550, JS-0000-T5746, JS-0000-T5786, JS-0000-T5858, JS-0000-T586, JS-0000-T6086, JS-0000-T6138, JS-0000-T6196, JS-0000-T6372, JS-0000-T6402, JS-0000-T644, JS-0000-T6522, JS-0000-T6746, JS-0000-T782, JS-1912-T6724, JS-1922-T1360, JS-1922-T2332, JS-1951-T6696, JS-1994-T2710, JS-2007-T4692, JS-2008-T1274, JS-2011-T1174, JS-2012-T4842, JS-2013-T1694, JS-2014-T5400, JS-2016-T1202, JS-2016-T5750, JS-2016-T5778, JS-2017-T1120, JS-2019-T1200, JS-2019-T1794, JS-2019-T2424, JS-2019-T4732, JS-2020-T1176, JS-2021-T1280, JS-2021-T4374, JS-2021-T5844, JS-2022-T987, JS-2023-T3470, JS-2023-T3476, JS-2023-T496, JS-2023-T780, JS-2024-T2036, JS-2026-T7022, JS-2026-T7024, JS-2026-T7028, JS-2026-T7034, JS-2026-T7054, JS-2026-T7116, JS-2026-T7122, JS-2026-T7126, JS-2026-T7130, JS-2026-T7134, JS-2026-T7154, JS-2026-T7164, JS-2026-T7180, JS-2026-T7184, JS-2026-T7192, JS-2026-T7198, JS-2026-T7218, JS-2026-T7244, JS-2026-T7246, JS-2026-T7260, JS-2026-T7262, JS-2026-T7276, JS-2026-T7282, JS-2026-T7290, JS-2026-T7292, JS-2026-T7296, JS-2026-T7298, JS-2026-T7322, JS-2026-T7342, JS-2026-T7344, JS-2026-T7348, JS-2026-T7360, JS-2026-T7362, JS-2027-T283"
Johannes Vermeer,visual_artist,75,567,7.6,exact,"JS-0000-T1001, JS-0000-T1250, JS-0000-T1288, JS-0000-T1616, JS-0000-T1750, JS-0000-T1808, JS-0000-T1886, JS-0000-T1932, JS-0000-T2008, JS-0000-T2170, JS-0000-T2632, JS-0000-T4044, JS-0000-T456, JS-0000-T5272, JS-0000-T5786, JS-0000-T6174, JS-0000-T6196, JS-0000-T6210, JS-0000-T6310, JS-0000-T6402, JS-0000-T6786, JS-1921-T1013, JS-1921-T2682, JS-1922-T2696, JS-1922-T337, JS-1981-T2804, JS-1982-T5476, JS-2002-T2668, JS-2011-T1172, JS-2012-T4842, JS-2014-T5310, JS-2014-T5400, JS-2014-T5924, JS-2015-T1116, JS-2016-T1490, JS-2016-T2112, JS-2016-T396, JS-2016-T4576, JS-2016-T5778, JS-2016-T6044, JS-2016-T6236, JS-2016-T6580, JS-2017-T1764, JS-2017-T5528, JS-2017-T5866, JS-2017-T854, JS-2018-T3740, JS-2019-T1362, JS-2019-T2382, JS-2019-T2424, JS-2021-T1280, JS-2021-T5844, JS-2022-T313, JS-2024-T4678, JS-2026-T7016, JS-2026-T7028, JS-2026-T7040, JS-2026-T7080, JS-2026-T7114, JS-2026-T7120, JS-2026-T7126, JS-2026-T7130, JS-2026-T7138, JS-2026-T7150, JS-2026-T7192, JS-2026-T7194, JS-2026-T7216, JS-2026-T7218, JS-2026-T7244, JS-2026-T7288, JS-2026-T7296, JS-2026-T7306, JS-2026-T7330, JS-2026-T7366, JS-2027-T4064"
Paul Klee,visual_artist,74,194,2.6,exact,"JS-0000-T1288, JS-0000-T1802, JS-0000-T2012, JS-0000-T2014, JS-0000-T2110, JS-0000-T221, JS-0000-T2384, JS-0000-T2632, JS-0000-T2652, JS-0000-T2686, JS-0000-T3974, JS-0000-T4202, JS-0000-T5026, JS-0000-T5110, JS-0000-T5396, JS-0000-T6076, JS-0000-T6440, JS-0000-T666, JS-0000-T6786, JS-0000-T880, JS-1921-T2792, JS-1921-T698, JS-1922-T2332, JS-1922-T337, JS-1922-T5720, JS-1991-T1007, JS-1991-T4996, JS-2006-T1122, JS-2011-T1174, JS-2011-T1612, JS-2011-T1836, JS-2012-T5256, JS-2014-T966, JS-2016-T5750, JS-2016-T5778, JS-2017-T5286, JS-2017-T6400, JS-2017-T6446, JS-2019-T2382, JS-2019-T2424, JS-2020-T1302, JS-2021-T6040, JS-2024-T2036, JS-2024-T4678, JS-2026-T7008, JS-2026-T7018, JS-2026-T7022, JS-2026-T7028, JS-2026-T7034, JS-2026-T7058, JS-2026-T7084, JS-2026-T7098, JS-2026-T7120, JS-2026-T7130, JS-2026-T7134, JS-2026-T7164, JS-2026-T7166, JS-2026-T7170, JS-2026-T7178, JS-2026-T7200, JS-2026-T7218, JS-2026-T7220, JS-2026-T7246, JS-2026-T7260, JS-2026-T7262, JS-2026-T7282, JS-2026-T7296, JS-2026-T7298, JS-2026-T7312, JS-2026-T7338, JS-2026-T7346, JS-2026-T7348, JS-2026-T7360, JS-2026-T7362"
Constantin Brancusi,visual_artist,72,1711,23.8,exact,"JS-0000-T1040, JS-0000-T1262, JS-0000-T1266, JS-0000-T1270, JS-0000-T1276, JS-0000-T1278, JS-0000-T1288, JS-0000-T1290, JS-0000-T1292, JS-0000-T1298, JS-0000-T1300, JS-0000-T1306, JS-0000-T1318, JS-0000-T1320, JS-0000-T1330, JS-0000-T1340, JS-0000-T1342, JS-0000-T1344, JS-0000-T1346, JS-0000-T1348, JS-0000-T1550, JS-0000-T1610, JS-0000-T1680, JS-0000-T169, JS-0000-T175, JS-0000-T2632, JS-0000-T5772, JS-0000-T5800, JS-0000-T6746, JS-1921-T2682, JS-1971-T1364, JS-1991-T4996, JS-2000-T1294, JS-2007-T4692, JS-2008-T1274, JS-2011-T1612, JS-2012-T1332, JS-2012-T1338, JS-2013-T868, JS-2016-T1260, JS-2016-T1310, JS-2016-T6236, JS-2016-T804, JS-2017-T4578, JS-2018-T1286, JS-2019-T1082, JS-2019-T1264, JS-2019-T1296, JS-2019-T1312, JS-2019-T1328, JS-2019-T5448, JS-2020-T1272, JS-2020-T1302, JS-2020-T1304, JS-2021-T1280, JS-2021-T1282, JS-2021-T4374, JS-2022-T4654, JS-2023-T1790, JS-2026-T7010, JS-2026-T7022, JS-2026-T7024, JS-2026-T7040, JS-2026-T7082, JS-2026-T7130, JS-2026-T7156, JS-2026-T7158, JS-2026-T7176, JS-2026-T7192, JS-2026-T7350, JS-2026-T7360, JS-2026-T7368"
Folsom Prison Blues,song,72,484,6.7,exact,"JS-0000-T1178, JS-0000-T1288, JS-0000-T1646, JS-0000-T2652, JS-0000-T2694, JS-0000-T2944, JS-0000-T3438, JS-0000-T3496, JS-0000-T4240, JS-0000-T5022, JS-0000-T5380, JS-0000-T5786, JS-0000-T5814, JS-0000-T610, JS-0000-T6308, JS-0000-T6636, JS-0000-T6664, JS-0000-T6674, JS-0000-T6714, JS-0000-T6768, JS-0000-T6816, JS-0000-T880, JS-0000-T882, JS-1921-T2268, JS-1921-T2698, JS-1921-T850, JS-1923-T490, JS-1933-T6416, JS-1981-T2816, JS-1994-T6534, JS-2002-T2668, JS-2012-T1338, JS-2013-T5070, JS-2013-T6120, JS-2014-T5072, JS-2015-T4672, JS-2015-T6028, JS-2016-T2112, JS-2016-T5750, JS-2016-T6156, JS-2016-T6198, JS-2019-T1794, JS-2019-T2496, JS-2019-T6680, JS-2020-T6486, JS-2021-T1146, JS-2021-T1572, JS-2021-T1974, JS-2021-T2864, JS-2021-T4872, JS-2021-T890, JS-2022-T4940, JS-2023-T1790, JS-2024-T2232, JS-2024-T3408, JS-2024-T3520, JS-2026-T6920, JS-2026-T6926, JS-2026-T7090, JS-2026-T7104, JS-2026-T7218, JS-2026-T7230, JS-2026-T7242, JS-2026-T7244, JS-2026-T7304, JS-2026-T7308, JS-2026-T7322, JS-2026-T7328, JS-2026-T7350, JS-2026-T7376, JS-2027-T2838, JS-2029-T1816"
Andy Warhol,visual_artist,63,206,3.3,exact,"JS-0000-T1586, JS-0000-T1680, JS-0000-T1750, JS-0000-T193, JS-0000-T1986, JS-0000-T2014, JS-0000-T205, JS-0000-T2632, JS-0000-T2794, JS-0000-T3484, JS-0000-T5230, JS-0000-T5702, JS-0000-T6196, JS-0000-T6402, JS-0000-T848, JS-1921-T2682, JS-1922-T1360, JS-1922-T337, JS-1951-T6696, JS-2004-T1618, JS-2011-T1612, JS-2012-T4842, JS-2014-T4588, JS-2014-T5072, JS-2014-T5400, JS-2014-T6246, JS-2016-T5750, JS-2016-T5778, JS-2019-T2382, JS-2019-T2424, JS-2019-T3764, JS-2021-T1280, JS-2021-T5844, JS-2023-T2946, JS-2023-T3350, JS-2023-T496, JS-2024-T2036, JS-2026-T7010, JS-2026-T7028, JS-2026-T7062, JS-2026-T7088, JS-2026-T7090, JS-2026-T7094, JS-2026-T7130, JS-2026-T7164, JS-2026-T7166, JS-2026-T7192, JS-2026-T7218, JS-2026-T7220, JS-2026-T7222, JS-2026-T7232, JS-2026-T7246, JS-2026-T7292, JS-2026-T7296, JS-2026-T7298, JS-2026-T7340, JS-2026-T7342, JS-2026-T7348, JS-2026-T7354, JS-2026-T7360, JS-2026-T7362, JS-2026-T7364, JS-2026-T7366"
Hunter S. Thompson,author,55,157,2.9,exact,"JS-0000-T1292, JS-0000-T1530, JS-0000-T1590, JS-0000-T163, JS-0000-T2008, JS-0000-T2012, JS-0000-T2014, JS-0000-T2388, JS-0000-T3422, JS-0000-T5380, JS-0000-T5862, JS-0000-T5974, JS-0000-T6210, JS-0000-T6818, JS-0000-T814, JS-0000-T862, JS-0000-T880, JS-2002-T2668, JS-2009-T159, JS-2015-T1170, JS-2017-T2418, JS-2017-T5918, JS-2018-T1776, JS-2018-T4054, JS-2019-T1322, JS-2021-T2630, JS-2021-T5338, JS-2022-T1112, JS-2022-T987, JS-2023-T3474, JS-2023-T6748, JS-2024-T924, JS-2026-T6902, JS-2026-T6948, JS-2026-T6958, JS-2026-T7016, JS-2026-T7042, JS-2026-T7050, JS-2026-T7062, JS-2026-T7064, JS-2026-T7072, JS-2026-T7080, JS-2026-T7092, JS-2026-T7116, JS-2026-T7130, JS-2026-T7150, JS-2026-T7176, JS-2026-T7220, JS-2026-T7224, JS-2026-T7254, JS-2026-T7282, JS-2026-T7298, JS-2026-T7336, JS-2026-T7338, JS-2026-T7352"
Jimi Hendrix,musician,52,128,2.5,exact,"JS-0000-T1680, JS-0000-T1750, JS-0000-T193, JS-0000-T2014, JS-0000-T2384, JS-0000-T245, JS-0000-T2684, JS-0000-T3874, JS-0000-T5862, JS-0000-T6218, JS-0000-T6674, JS-0000-T782, JS-1921-T2648, JS-1922-T5720, JS-1933-T6416, JS-2007-T3460, JS-2011-T1612, JS-2012-T4842, JS-2015-T4138, JS-2019-T2318, JS-2019-T2356, JS-2019-T5448, JS-2020-T1176, JS-2022-T371, JS-2024-T2036, JS-2026-T6952, JS-2026-T7008, JS-2026-T7022, JS-2026-T7024, JS-2026-T7038, JS-2026-T7054, JS-2026-T7056, JS-2026-T7058, JS-2026-T7066, JS-2026-T7098, JS-2026-T7106, JS-2026-T7108, JS-2026-T7110, JS-2026-T7112, JS-2026-T7116, JS-2026-T7130, JS-2026-T7134, JS-2026-T7158, JS-2026-T7164, JS-2026-T7170, JS-2026-T7184, JS-2026-T7198, JS-2026-T7246, JS-2026-T7290, JS-2026-T7298, JS-2026-T7340, JS-2026-T7374"
Crucifixion of Jesus,religious,49,173,3.5,exact,"JS-0000-T1478, JS-0000-T2014, JS-0000-T2384, JS-0000-T2766, JS-0000-T5358, JS-0000-T6096, JS-0000-T6674, JS-1921-T6286, JS-1922-T2332, JS-1923-T1528, JS-1972-T2882, JS-2001-T1746, JS-2002-T2668, JS-2006-T1122, JS-2011-T1058, JS-2012-T5646, JS-2016-T2062, JS-2016-T5470, JS-2016-T6574, JS-2019-T1200, JS-2019-T1368, JS-2019-T1650, JS-2019-T6066, JS-2021-T1011, JS-2021-T1280, JS-2022-T2898, JS-2022-T806, JS-2023-T1792, JS-2023-T6068, JS-2024-T1476, JS-2024-T2232, JS-2024-T3384, JS-2026-T6572, JS-2026-T7016, JS-2026-T7022, JS-2026-T7038, JS-2026-T7058, JS-2026-T7108, JS-2026-T7126, JS-2026-T7144, JS-2026-T7168, JS-2026-T7200, JS-2026-T7276, JS-2026-T7290, JS-2026-T7304, JS-2026-T7322, JS-2026-T7346, JS-2026-T7372, JS-2026-T7374"
High Times,other,49,64,1.3,exact,"JS-0000-T141, JS-0000-T1474, JS-0000-T1590, JS-0000-T1668, JS-0000-T1798, JS-0000-T5678, JS-0000-T6062, JS-0000-T6140, JS-0000-T6434, JS-0000-T6438, JS-0000-T6618, JS-0000-T6664, JS-0000-T6802, JS-0000-T728, JS-0000-T794, JS-0000-T810, JS-1922-T1360, JS-1923-T5564, JS-1927-T652, JS-1972-T6578, JS-2001-T6798, JS-2013-T1694, JS-2016-T6448, JS-2016-T6542, JS-2016-T6648, JS-2019-T121, JS-2019-T3588, JS-2023-T1744, JS-2023-T2946, JS-2023-T3380, JS-2023-T3474, JS-2023-T61, JS-2023-T6418, JS-2023-T722, JS-2023-T780, JS-2024-T167, JS-2024-T2232, JS-2024-T3442, JS-2024-T3590, JS-2024-T6624, JS-2024-T924, JS-2026-T6894, JS-2026-T6928, JS-2026-T7082, JS-2026-T7084, JS-2026-T7104, JS-2026-T7140, JS-2026-T7148, JS-2026-T7280"
